x1,x2,x3,x4,y
2045,D_Gas_Methane,CO2,AT,0.0
2050,D_Gas_Methane,CO2,AT,0.0
2018,D_Heat_HLI,CO2,AT,0.0
2025,D_Heat_HLI,CO2,AT,0.0
2030,D_Heat_HLI,CO2,AT,0.0
2035,D_Heat_HLI,CO2,AT,0.0
2040,D_Heat_HLI,CO2,AT,0.0
2045,D_Heat_HLI,CO2,AT,0.0
2050,D_Heat_HLI,CO2,AT,0.0
2018,D_Heat_HLR,CO2,AT,0.0
2025,D_Heat_HLR,CO2,AT,0.0
2030,D_Heat_HLR,CO2,AT,0.0
2035,D_Heat_HLR,CO2,AT,0.0
2040,D_Heat_HLR,CO2,AT,0.0
2045,D_Heat_HLR,CO2,AT,0.0
2050,D_Heat_HLR,CO2,AT,0.0
2018,D_PHS,CO2,AT,0.0
2025,D_PHS,CO2,AT,0.0
2030,D_PHS,CO2,AT,0.0
2035,D_PHS,CO2,AT,0.0
2040,D_PHS,CO2,AT,0.0
2045,D_PHS,CO2,AT,0.0
2050,D_PHS,CO2,AT,0.0
2018,FRT_Rail_Conv,CO2,AT,5.6484258397768095
2025,FRT_Rail_Conv,CO2,AT,0.0
2030,FRT_Rail_Conv,CO2,AT,0.0
2035,FRT_Rail_Conv,CO2,AT,0.0
2040,FRT_Rail_Conv,CO2,AT,0.0
2045,FRT_Rail_Conv,CO2,AT,0.0
2050,FRT_Rail_Conv,CO2,AT,0.0
2018,FRT_Rail_Electric,CO2,AT,0.0
2025,FRT_Rail_Electric,CO2,AT,0.0
2030,FRT_Rail_Electric,CO2,AT,0.0
2035,FRT_Rail_Electric,CO2,AT,0.0
2040,FRT_Rail_Electric,CO2,AT,0.0
2045,FRT_Rail_Electric,CO2,AT,0.0
2050,FRT_Rail_Electric,CO2,AT,0.0
2018,FRT_Road_BEV,CO2,AT,0.0
2025,FRT_Road_BEV,CO2,AT,0.0
2030,FRT_Road_BEV,CO2,AT,0.0
2035,FRT_Road_BEV,CO2,AT,0.0
2040,FRT_Road_BEV,CO2,AT,0.0
2045,FRT_Road_BEV,CO2,AT,0.0
2050,FRT_Road_BEV,CO2,AT,0.0
2018,FRT_Road_H2,CO2,AT,0.0
