x1,x2,x3,x4,y
2030,CO2,CHP,EE,0.0
2035,CO2,CHP,EE,0.0
2040,CO2,CHP,EE,0.0
2045,CO2,CHP,EE,0.0
2050,CO2,CHP,EE,0.0
2018,CO2,Infeasibility,EE,0.0
2025,CO2,Infeasibility,EE,0.0
2030,CO2,Infeasibility,EE,0.0
2035,CO2,Infeasibility,EE,0.0
2040,CO2,Infeasibility,EE,0.0
2045,CO2,Infeasibility,EE,0.0
2050,CO2,Infeasibility,EE,0.0
2018,CO2,Power,ES,37.67269705817899
2025,CO2,Power,ES,0.0
2030,CO2,Power,ES,0.0
2035,CO2,Power,ES,0.0
2040,CO2,Power,ES,0.0
2045,CO2,Power,ES,0.0
2050,CO2,Power,ES,-8.214359370465457
2018,CO2,Industry,ES,55.19948962761585
2025,CO2,Industry,ES,3.149947410412983
2030,CO2,Industry,ES,2.8191682600297225
2035,CO2,Industry,ES,0.677552465447905
2040,CO2,Industry,ES,0.21722934876785804
2045,CO2,Industry,ES,0.0
2050,CO2,Industry,ES,0.0
2018,CO2,Buildings,ES,14.744837355451386
2025,CO2,Buildings,ES,0.0
2030,CO2,Buildings,ES,0.0
2035,CO2,Buildings,ES,0.0
2040,CO2,Buildings,ES,0.0
2045,CO2,Buildings,ES,0.0
2050,CO2,Buildings,ES,0.0
2018,CO2,Transportation,ES,11.08258784851515
2025,CO2,Transportation,ES,1.9637534434709911
2030,CO2,Transportation,ES,1.3362435756261313
2035,CO2,Transportation,ES,0.1232766471641693
2040,CO2,Transportation,ES,0.04053512168233426
2045,CO2,Transportation,ES,0.03972853154740798
2050,CO2,Transportation,ES,0.03893114118590547
2018,CO2,Resources,ES,0.0
2025,CO2,Resources,ES,0.0
2030,CO2,Resources,ES,0.0
2035,CO2,Resources,ES,0.0
2040,CO2,Resources,ES,0.0
2045,CO2,Resources,ES,0.0
2050,CO2,Resources,ES,0.0
2018,CO2,Storages,ES,0.0
2025,CO2,Storages,ES,0.0
2030,CO2,Storages,ES,0.0
2035,CO2,Storages,ES,0.0
2040,CO2,Storages,ES,0.0
2045,CO2,Storages,ES,0.0
2050,CO2,Storages,ES,0.0
2018,CO2,Transformation,ES,0.0
2025,CO2,Transformation,ES,0.0
2030,CO2,Transformation,ES,0.0
2035,CO2,Transformation,ES,0.0
2040,CO2,Transformation,ES,0.0
2045,CO2,Transformation,ES,0.0
2050,CO2,Transformation,ES,0.0
2018,CO2,CHP,ES,8.683226139124383
2025,CO2,CHP,ES,-0.08806809358473355
2030,CO2,CHP,ES,-1.454703070919333
2035,CO2,CHP,ES,-1.7894644363395444
2040,CO2,CHP,ES,-13.356324436542364
2045,CO2,CHP,ES,-15.045311126422854
2050,CO2,CHP,ES,-14.187256713319822
2018,CO2,Infeasibility,ES,0.0
