x1,x2,x3,x4,x5,y
MT_PSNG_ROAD_RE,8,BG,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,8,BG,Mobility_Passenger,2018,0.15248064662087754
MT_PSNG_AIR_RE,8,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,8,BG,Mobility_Passenger,2018,6.404187158076856
MT_PSNG_RAIL_CONV,8,BG,Mobility_Passenger,2018,0.07624032331043877
MT_PSNG_AIR_CONV,8,BG,Mobility_Passenger,2018,0.686162909793949
MT_FRT_ROAD,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,8,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,BG,Mobility_Passenger,2018,29.35734808228951
MT_PSNG_RAIL,1932,BG,Mobility_Passenger,2018,1.0240935377542852
MT_PSNG_AIR,1932,BG,Mobility_Passenger,2018,3.0722806132628557
MT_PSNG_ROAD_RE,1932,BG,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,1932,BG,Mobility_Passenger,2018,0.6827290251695235
MT_PSNG_AIR_RE,1932,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,1932,BG,Mobility_Passenger,2018,28.674619057119983
MT_PSNG_RAIL_CONV,1932,BG,Mobility_Passenger,2018,0.34136451258476175
MT_PSNG_AIR_CONV,1932,BG,Mobility_Passenger,2018,3.0722806132628557
MT_FRT_ROAD,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,1932,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,BG,Mobility_Passenger,2018,17.400766166492435
MT_PSNG_RAIL,3856,BG,Mobility_Passenger,2018,0.6070034709241547
MT_PSNG_AIR,3856,BG,Mobility_Passenger,2018,1.8210104127724642
MT_PSNG_ROAD_RE,3856,BG,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,3856,BG,Mobility_Passenger,2018,0.4046689806161032
MT_PSNG_AIR_RE,3856,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,3856,BG,Mobility_Passenger,2018,16.99609718587633
MT_PSNG_RAIL_CONV,3856,BG,Mobility_Passenger,2018,0.2023344903080516
MT_PSNG_AIR_CONV,3856,BG,Mobility_Passenger,2018,1.8210104127724642
MT_FRT_ROAD,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,3856,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,BG,Mobility_Passenger,2018,5.155271541677222
MT_PSNG_RAIL,5780,BG,Mobility_Passenger,2018,0.17983505377943798
MT_PSNG_AIR,5780,BG,Mobility_Passenger,2018,0.539505161338314
MT_PSNG_ROAD_RE,5780,BG,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,5780,BG,Mobility_Passenger,2018,0.11989003585295867
MT_PSNG_AIR_RE,5780,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,5780,BG,Mobility_Passenger,2018,5.0353815058242635
MT_PSNG_RAIL_CONV,5780,BG,Mobility_Passenger,2018,0.059945017926479334
MT_PSNG_AIR_CONV,5780,BG,Mobility_Passenger,2018,0.539505161338314
MT_FRT_ROAD,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,BG,Mobility_Passenger,2018,1.4678674041144752
MT_PSNG_RAIL,7704,BG,Mobility_Passenger,2018,0.051204676887714254
MT_PSNG_AIR,7704,BG,Mobility_Passenger,2018,0.15361403066314278
MT_PSNG_ROAD_RE,7704,BG,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,7704,BG,Mobility_Passenger,2018,0.03413645125847617
MT_PSNG_AIR_RE,7704,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,7704,BG,Mobility_Passenger,2018,1.433730952855999
MT_PSNG_RAIL_CONV,7704,BG,Mobility_Passenger,2018,0.017068225629238085
MT_PSNG_AIR_CONV,7704,BG,Mobility_Passenger,2018,0.15361403066314278
MT_FRT_ROAD,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,7704,BG,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,7704,BG,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,8,CH,Mobility_Passenger,2018,9.975698031320393
MT_PSNG_RAIL,8,CH,Mobility_Passenger,2018,2.323107760718448
MT_PSNG_AIR,8,CH,Mobility_Passenger,2018,1.229880579203884
MT_PSNG_ROAD_RE,8,CH,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,8,CH,Mobility_Passenger,2018,1.6398407722718453
MT_PSNG_AIR_RE,8,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,8,CH,Mobility_Passenger,2018,9.565737838252431
MT_PSNG_RAIL_CONV,8,CH,Mobility_Passenger,2018,0.6832669884466023
MT_PSNG_AIR_CONV,8,CH,Mobility_Passenger,2018,1.229880579203884
MT_FRT_ROAD,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,8,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,CH,Mobility_Passenger,2018,44.66598708256259
MT_PSNG_RAIL,1932,CH,Mobility_Passenger,2018,10.401668224706356
MT_PSNG_AIR,1932,CH,Mobility_Passenger,2018,5.506765530726894
MT_PSNG_ROAD_RE,1932,CH,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,1932,CH,Mobility_Passenger,2018,7.342354040969192
MT_PSNG_AIR_RE,1932,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,1932,CH,Mobility_Passenger,2018,42.830398572320284
MT_PSNG_RAIL_CONV,1932,CH,Mobility_Passenger,2018,3.059314183737164
MT_PSNG_AIR_CONV,1932,CH,Mobility_Passenger,2018,5.506765530726894
MT_FRT_ROAD,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,1932,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,CH,Mobility_Passenger,2018,26.47454377148324
MT_PSNG_RAIL,3856,CH,Mobility_Passenger,2018,6.165304713907057
MT_PSNG_AIR,3856,CH,Mobility_Passenger,2018,3.2639848485390295
MT_PSNG_ROAD_RE,3856,CH,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,3856,CH,Mobility_Passenger,2018,4.35197979805204
MT_PSNG_AIR_RE,3856,CH,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,3856,CH,Mobility_Passenger,2018,25.38654882197023
MT_PSNG_RAIL_CONV,3856,CH,Mobility_Passenger,2018,1.8133249158550167
MT_PSNG_AIR_CONV,3856,CH,Mobility_Passenger,2018,3.2639848485390295
MT_FRT_ROAD,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,CH,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,CH,Mobility_Passenger,2018,0.0
