x1;x2;x3;y;;x1;x2;x3;y;diff;
2025;FRT_Road_BEV;AT;0;;2025;FRT_Road_BEV;AT;0;0;#DIV/0!
2030;FRT_Road_BEV;AT;0;;2030;FRT_Road_BEV;AT;0;0;#DIV/0!
2035;FRT_Road_BEV;AT;0;;2035;FRT_Road_BEV;AT;0;0;#DIV/0!
2040;FRT_Road_BEV;AT;0;;2040;FRT_Road_BEV;AT;0;0;#DIV/0!
2045;FRT_Road_BEV;AT;0;;2045;FRT_Road_BEV;AT;0;0;#DIV/0!
2050;FRT_Road_BEV;AT;0;;2050;FRT_Road_BEV;AT;0;0;#DIV/0!
2018;FRT_Road_H2;AT;0;;2018;FRT_Road_H2;AT;0;0;#DIV/0!
2025;FRT_Road_H2;AT;0;;2025;FRT_Road_H2;AT;0;0;#DIV/0!
2030;FRT_Road_H2;AT;0;;2030;FRT_Road_H2;AT;0;0;#DIV/0!
2035;FRT_Road_H2;AT;0;;2035;FRT_Road_H2;AT;0;0;#DIV/0!
2040;FRT_Road_H2;AT;0;;2040;FRT_Road_H2;AT;0;0;#DIV/0!
2045;FRT_Road_H2;AT;0;;2045;FRT_Road_H2;AT;0;0;#DIV/0!
2050;FRT_Road_H2;AT;0;;2050;FRT_Road_H2;AT;0;0;#DIV/0!
2018;FRT_Road_ICE;AT;54,79859418;;2018;FRT_Road_ICE;AT;6,710031716;48,08856246;88%
2025;FRT_Road_ICE;AT;32,06283934;;2025;FRT_Road_ICE;AT;6,710031716;25,35280763;79%
2030;FRT_Road_ICE;AT;16,85368685;;2030;FRT_Road_ICE;AT;6,710031716;10,14365514;60%
2035;FRT_Road_ICE;AT;0;;2035;FRT_Road_ICE;AT;6,710031716;-6,710031716;#DIV/0!
2040;FRT_Road_ICE;AT;0;;2040;FRT_Road_ICE;AT;0;0;#DIV/0!
2045;FRT_Road_ICE;AT;0;;2045;FRT_Road_ICE;AT;0;0;#DIV/0!
2050;FRT_Road_ICE;AT;0;;2050;FRT_Road_ICE;AT;0;0;#DIV/0!
2018;FRT_Road_LNG;AT;0;;2018;FRT_Road_LNG;AT;0;0;#DIV/0!
2025;FRT_Road_LNG;AT;0;;2025;FRT_Road_LNG;AT;0;0;#DIV/0!
2030;FRT_Road_LNG;AT;0;;2030;FRT_Road_LNG;AT;0;0;#DIV/0!
2035;FRT_Road_LNG;AT;0;;2035;FRT_Road_LNG;AT;0;0;#DIV/0!
2040;FRT_Road_LNG;AT;0;;2040;FRT_Road_LNG;AT;0;0;#DIV/0!
2045;FRT_Road_LNG;AT;0;;2045;FRT_Road_LNG;AT;0;0;#DIV/0!
2050;FRT_Road_LNG;AT;0;;2050;FRT_Road_LNG;AT;0;0;#DIV/0!
2018;FRT_Road_OH;AT;0;;2018;FRT_Road_OH;AT;0;0;#DIV/0!
2025;FRT_Road_OH;AT;14,0935342;;2025;FRT_Road_OH;AT;0,192923579;13,90061062;99%
2030;FRT_Road_OH;AT;27,57928473;;2030;FRT_Road_OH;AT;0,192923579;27,38636115;99%
2035;FRT_Road_OH;AT;51,21740071;;2035;FRT_Road_OH;AT;0,192923579;51,02447713;100%
2040;FRT_Road_OH;AT;51,67301456;;2040;FRT_Road_OH;AT;6,370619702;45,30239486;88%
2045;FRT_Road_OH;AT;51,30456168;;2045;FRT_Road_OH;AT;6,282191017;45,02237067;88%
2050;FRT_Road_OH;AT;60,96565113;;2050;FRT_Road_OH;AT;6,282191017;54,68346011;90%
2018;FRT_Road_PHEV;AT;0;;2018;FRT_Road_PHEV;AT;0;0;#DIV/0!
2025;FRT_Road_PHEV;AT;10,21776325;;2025;FRT_Road_PHEV;AT;0;10,21776325;100%
2030;FRT_Road_PHEV;AT;9,835943532;;2030;FRT_Road_PHEV;AT;0;9,835943532;100%
2035;FRT_Road_PHEV;AT;2,695652669;;2035;FRT_Road_PHEV;AT;0;2,695652669;100%
2040;FRT_Road_PHEV;AT;0,35371474;;2040;FRT_Road_PHEV;AT;0;0,35371474;100%
2045;FRT_Road_PHEV;AT;0;;2045;FRT_Road_PHEV;AT;0;0;#DIV/0!
2050;FRT_Road_PHEV;AT;0;;2050;FRT_Road_PHEV;AT;0;0;#DIV/0!
2018;FRT_Ship_Bio;AT;0;;2018;FRT_Ship_Bio;AT;0;0;#DIV/0!
2025;FRT_Ship_Bio;AT;0,247661171;;2025;FRT_Ship_Bio;AT;0,012383059;0,235278112;95%
2030;FRT_Ship_Bio;AT;0,382596665;;2030;FRT_Ship_Bio;AT;0,012383059;0,370213606;97%
2035;FRT_Ship_Bio;AT;0,470457969;;2035;FRT_Ship_Bio;AT;0,012383059;0,458074911;97%
2040;FRT_Ship_Bio;AT;0,973301983;;2040;FRT_Ship_Bio;AT;0,012383059;0,960918925;99%
2045;FRT_Ship_Bio;AT;0,994693389;;2045;FRT_Ship_Bio;AT;0,012383059;0,982310331;99%
2050;FRT_Ship_Bio;AT;1,408213868;;2050;FRT_Ship_Bio;AT;0,117678036;1,290535831;92%
2018;FRT_Ship_Conv;AT;1,66056346;;2018;FRT_Ship_Conv;AT;0,203334294;1,457229165;88%
2025;FRT_Ship_Conv;AT;1,541991103;;2025;FRT_Ship_Conv;AT;0,203334294;1,338656808;87%
2030;FRT_Ship_Conv;AT;1,015897019;;2030;FRT_Ship_Conv;AT;0,203334294;0,812562725;80%
2035;FRT_Ship_Conv;AT;0,504380954;;2035;FRT_Ship_Conv;AT;0,203334294;0,30104666;60%
2040;FRT_Ship_Conv;AT;0,182077817;;2040;FRT_Ship_Conv;AT;0,203334294;-0,021256478;-12%
2045;FRT_Ship_Conv;AT;0,186079556;;2045;FRT_Ship_Conv;AT;0,203334294;-0,017254739;-9%
2050;FRT_Ship_Conv;AT;0;;2050;FRT_Ship_Conv;AT;0;0;#DIV/0!
2018;FRT_Ship_LNG;AT;0;;2018;FRT_Ship_LNG;AT;0;0;#DIV/0!
2025;FRT_Ship_LNG;AT;0;;2025;FRT_Ship_LNG;AT;0;0;#DIV/0!
2030;FRT_Ship_LNG;AT;0;;2030;FRT_Ship_LNG;AT;0;0;#DIV/0!
2035;FRT_Ship_LNG;AT;0;;2035;FRT_Ship_LNG;AT;0;0;#DIV/0!
2040;FRT_Ship_LNG;AT;0;;2040;FRT_Ship_LNG;AT;0;0;#DIV/0!
